name,imdb_avg,num,fb_likes
Steve Irwin,5.4,1,477
Steve Howey,4.2,2,1652
Steve Guttenberg,6.133333333,3,2403
Steve Coogan,6.7,5,5000
Steve Carell,6.84,10,70000
Steve Buscemi,6.425925926,27,324000
Steve Bastoni,7.2,1,234
Sterling Jerins,6.8,1,155
Stephen Root,5.88,5,4695
Stephen Rea,5.866666667,3,981
Stephen McHattie,6.7,3,1239
Stephen Macht,3.4,1,113
Stephen Graham,6.825,4,4000
Stephen Dillane,7.5,1,577
Stephen Collins,5.7,1,452
Stephen Colbert,8.1,1,459
Stephen Carr,4.8,1,2
Stephen Amell,6.3,1,5000
Stephanie Szostak,4.9,2,2000
Stephanie Leonidas,6.9,1,420
Stana Roumillac,6.7,1,0
Stacy Keach,5.05,2,1204
Stacy Edwards,7.3,1,136
Spring Byington,6.5,1,94
Sprague Grayden,5.7,1,438
Spencer Wilding,5.4,1,1000
Spencer Tracy,7,1,760
Sophie Okonedo,7.4,1,460
Sophia Myles,6,3,2867
Sook-Yin Lee,6.5,1,71
Sonja Sohn,7.2,1,245
Sonia Braga,5.6,1,308
Sofia Boutella,7.5,1,998
Snoop Dogg,6.7,2,1762
Slim Pickens,7.3,1,575
Siu-Wong Fan,6.5,1,79
Sissy Spacek,6.8,4,3496
Siobhan Marshall,6.3,1,42
Simon Yam,7.3,1,155
Simon Merrells,5,1,490
Simon Bird,8.4,1,229
Simon Abkarian,6.9,1,75
Sierra McCormick,6.7,1,512
Sid Haig,6.125,4,4000
Sid Caesar,6.7,1,898
Si Won Choi,6.1,1,21
Shun Oguri,6.5,1,173
Shô Kosugi,6.4,1,330
Shirley Jones,7.9,1,556
Shirley Henderson,6.6,3,2661
Shiri Appleby,6.1,1,855
Sheryl Lee,6.1,1,2000
Sheryl Crow,7.4,1,130
Shengyi Huang,7.8,1,264
Shelley Hennig,5.7,1,707
Shelley Duvall,7,1,629
Shelley Conn,5.3,1,273
Sheldon Leonard,7.1,1,142
Shawnee Smith,6.1,1,651
Shawna Waldron,6.8,1,524
Shaun Sipos,6.6,1,322
Sharon Small,7.1,1,66
Sharon Leal,6.2,1,467
Sharlto Copley,8,1,2000
Shari Albert,6.6,1,138
Shannon Elizabeth,5.266666667,3,3000
Shannen Fields,6.9,1,51
Shane Pollard,4.5,1,485
Shane Dawson,5.1,1,247
Shane Carruth,7,1,291
Shane Black,7.8,1,1000
Shailene Woodley,7.4,3,24000
Shahir Kabaha,7.4,1,20
Shahab Hosseini,8.4,1,786
Shah Rukh Khan,7.2,4,32000
Seymour Cassel,6.15,2,654
Seychelle Gabriel,4.2,1,1000
Seth MacFarlane,7,1,3000
Seth Gilliam,5.7,1,423
Sergey Garmash,5.2,1,21
Seregon O'Dassey,4.2,1,498
Sendhil Ramamurthy,6.55,2,2000
Sela Ward,5.6,1,812
Sebastian Koch,7.9,2,760
Sean Young,6.9,1,759
Sean Whalen,4,1,407
Sean Pertwee,6.4,4,2888
Sean Patrick Thomas,6.2,2,1312
Sean Lennon,7.7,1,61
Sean Hayes,3.8,1,760
Sean Cameron Michael,6.9,1,412
Seamus Davey-Fitzpatrick,7.9,1,140
Scout Taylor-Compton,5.166666667,3,2724
Scott Takeda,4.2,1,981
Scott Porter,6.25,2,1380
Scott Mechlowicz,7.3,1,634
Scott Levy,1.9,1,639
Scott Helvenston,7.7,1,25
Scott Grimes,6.7,1,738
Scott Glenn,6.825,4,3304
Scott Cohen,6.7,1,378
Scott Baio,1.9,1,650
Scoot McNairy,5.55,2,1320
Scatman Crothers,8.55,2,1776
Scarlett Johansson,6.863636364,22,418000
Sayed Badreya,6.4,1,600
Satish Kaushik,6.7,1,56
Sasha Roiz,5.6,1,795
Sasha Alexander,7.3,1,980
Sarunyu Wongkrachang,6.6,1,7
Sariann Monaco,4.4,1,163
Sarah Silverman,6.333333333,3,2793
Sarah Roemer,6.9,2,1768
Sarah Polley,6.9,3,2700
Sarah Murphy-Dyson,7,1,14
Sarah Michelle Gellar,5.7,10,40000
Sarah Kazemy,5.9,1,144
Sarah Gadon,5.7,1,691
Sarah Carter,6.2,1,748
Sarah Butler,6.3,1,635
Sara Forestier,7.2,1,74
Santiago Cabrera,6.6,1,639
Sandrine Kiberlain,6.9,1,71
Sandra Ellis Lafferty,6.65,2,1046
Sanaa Lathan,6.35,2,1772
Sammy Davis Jr.,7,1,683
Sammo Kam-Bo Hung,6.2,1,472
Samira Wiley,7.1,1,646
Samantha Morton,6.32,5,3155
Samantha Futerman,6.8,1,100
Samantha Barks,5.8,1,2000
Samaire Armstrong,5.3,1,806
Sam Waterston,4.9,1,849
Sam Trammell,4.95,2,2000
Sam Shepard,6.533333333,3,2460
Sam Riley,6.7,2,1690
Sam Edwards,7.4,1,16
