actor_1_name,genres,score,actor_1_facebook_likes,Num
Ed Begley Jr.,Fantasy|Horror|Thriller,6.1,1566,2
Bailee Madison,Fantasy|Horror|Thriller,5.6,3000,1
Hal Landon Jr.,Fantasy|Horror|Sci-Fi,7.4,195,1
Albert Brooks,Fantasy|Horror|Sci-Fi,6.5,745,1
Lisa Wilcox,Fantasy|Horror|Romance|Thriller,5.1,321,1
Keanu Reeves,Fantasy|Horror|Romance,7.5,18000,1
Sandra Ellis Lafferty,Fantasy|Horror|Mystery|Thriller,5.4,523,1
Miko Hughes,Fantasy|Horror|Mystery|Thriller,6.4,969,1
Lin Shaye,Fantasy|Horror|Mystery|Thriller,6.8,852,1
Liam Neeson,Fantasy|Horror|Mystery|Thriller,4.9,14000,1
Jung-min Hwang,Fantasy|Horror|Mystery|Thriller,7.7,45,1
Gary Oldman,Fantasy|Horror|Mystery|Thriller,5.4,10000,1
Dan Novy,Fantasy|Horror|Mystery|Thriller,7.3,19,1
Chris Hemsworth,Fantasy|Horror|Mystery|Thriller,7,26000,1
Alex Rocco,Fantasy|Horror|Mystery|Thriller,6.7,968,1
Aidan Turner,Fantasy|Horror|Mystery|Romance,6,5000,1
Lee Remick,Fantasy|Horror|Mystery,7.6,528,2
Bradley Cooper,Fantasy|Horror|Mystery,6.1,14000,1
Trey Loney,Fantasy|Horror,5.2,977,1
Ted Raimi,Fantasy|Horror,7.6,634,1
Stephen McHattie,Fantasy|Horror,6.7,413,1
Miko Hughes,Fantasy|Horror,6.6,969,1
Lin Shaye,Fantasy|Horror,4.4,852,1
Julian Sands,Fantasy|Horror,5.3,687,1
Joe Mantegna,Fantasy|Horror,5.7,1000,1
Jenny Agutter,Fantasy|Horror,5.7,659,1
Javier Botet,Fantasy|Horror,6.2,1000,1
Jamie Lee Curtis,Fantasy|Horror,6.8,4000,2
Heather O'Rourke,Fantasy|Horror,7.4,1774,2
Drew Powell,Fantasy|Horror,6.8,129,1
David Conrad,Fantasy|Horror,6.3,642,1
Clu Gulager,Fantasy|Horror,5.4,426,1
